date,wau,retained,new,resurrected,churned
08-02-2021,18,11,2,5,-17
08-09-2021,17,9,0,8,-9
08-16-2021,20,14,0,6,-3
08-23-2021,19,14,1,4,-6
08-30-2021,19,12,0,7,-7
09-06-2021,16,9,2,5,-10
09-13-2021,26,14,1,11,-2
09-20-2021,25,20,3,2,-6
09-27-2021,27,19,2,6,-6
10-04-2021,30,22,3,5,-5
10-11-2021,23,19,2,2,-11
10-18-2021,24,14,1,9,-9
10-25-2021,32,16,7,9,-8
11-01-2021,18,13,0,5,-19
11-08-2021,23,13,2,8,-5
11-15-2021,25,17,2,6,-6
11-22-2021,19,15,1,3,-10
11-29-2021,22,14,3,5,-5
12-06-2021,31,19,5,7,-3
12-13-2021,23,18,2,3,-13
12-20-2021,14,7,1,6,-16
12-27-2021,13,8,0,5,-6
01-03-2022,21,10,0,11,-3
01-10-2022,22,14,1,7,-7
01-17-2022,30,18,5,7,-4
01-24-2022,27,17,2,8,-13
01-31-2022,33,18,4,11,-9
02-07-2022,25,19,0,6,-14
02-14-2022,27,13,2,12,-12
02-21-2022,27,13,3,11,-14
02-28-2022,36,19,1,16,-8
03-07-2022,21,14,0,7,-22
03-14-2022,30,12,3,15,-9
03-21-2022,34,21,6,7,-9
03-28-2022,34,20,3,11,-14
04-04-2022,30,17,2,11,-17
04-11-2022,34,20,1,13,-10
04-18-2022,36,22,2,12,-12
04-25-2022,33,20,4,9,-16
05-02-2022,38,22,4,12,-11
05-09-2022,33,22,3,8,-16
05-16-2022,34,24,2,8,-9
05-23-2022,31,21,2,8,-13
05-30-2022,45,23,2,20,-8
06-06-2022,37,27,2,8,-18
06-13-2022,44,29,3,12,-8
06-20-2022,40,28,1,11,-16
06-27-2022,44,31,5,8,-9
07-04-2022,47,31,4,12,-13
07-11-2022,49,35,7,7,-12
07-18-2022,49,25,8,16,-24
07-25-2022,53,29,9,15,-20
08-01-2022,51,31,5,15,-22
08-08-2022,52,41,2,9,-10
08-15-2022,50,37,3,10,-15
08-22-2022,54,37,4,13,-13
08-29-2022,49,36,4,9,-18
09-05-2022,52,41,2,9,-8
09-12-2022,60,42,4,14,-10
09-19-2022,46,33,4,9,-27
09-26-2022,46,32,3,11,-14
10-03-2022,59,37,4,18,-9
10-10-2022,51,41,3,7,-18
10-17-2022,51,40,3,8,-11
10-24-2022,55,37,5,13,-14
10-31-2022,59,41,3,15,-14
11-07-2022,57,41,2,14,-18
11-14-2022,56,41,4,11,-16
11-21-2022,51,37,2,12,-19
11-28-2022,52,37,0,15,-14
12-05-2022,57,41,3,13,-11
12-12-2022,55,36,5,14,-21
12-19-2022,30,22,1,7,-33
12-26-2022,30,15,4,11,-15
01-02-2023,57,18,4,35,-12
